"Time","Potential"
0.0,5.343
0.1,5.337
0.2,5.365
0.3,5.343
0.4,5.362
0.5,5.365
0.6,5.359
0.7,5.362
0.8,5.374
0.9,5.340
1.0,5.340
1.1,5.350
1.2,5.343
1.3,5.359
1.4,5.353
1.5,5.340
1.6,5.365
1.7,5.331
1.8,5.371
1.9,5.343
2.0,5.353
2.1,5.353
2.2,5.368
2.3,5.365
2.4,5.371
2.5,5.350
2.6,5.343
2.7,5.328
2.8,5.359
2.9,5.340
3.0,5.334
3.1,5.359
3.2,5.359
3.3,5.337
3.4,5.322
3.5,5.343
3.6,5.340
3.7,5.325
3.8,5.325
3.9,5.337
4.0,5.340
4.1,5.334
4.2,5.334
4.3,5.340
4.4,5.346
4.5,5.319
4.6,5.322
4.7,5.337
4.8,5.337
4.9,5.353
5.0,5.340
5.1,5.322
5.2,5.328
5.3,5.331
5.4,5.322
5.5,5.356
5.6,5.313
5.7,5.322
5.8,5.307
5.9,5.325
6.0,5.331
6.1,5.310
6.2,5.331
6.3,5.319
6.4,5.322
6.5,5.322
6.6,5.353
6.7,5.346
6.8,5.322
6.9,5.334
7.0,5.328
7.1,5.334
7.2,5.310
7.3,5.340
7.4,5.319
7.5,5.310
7.6,5.307
7.7,5.325
7.8,5.325
7.9,5.337
8.0,5.325
8.1,5.334
8.2,5.307
8.3,5.313
8.4,5.307
8.5,5.313
8.6,5.316
8.7,5.295
8.8,5.313
8.9,5.304
9.0,5.331
9.1,5.301
9.2,5.313
9.3,5.301
9.4,5.301
9.5,5.322
9.6,5.310
9.7,5.328
9.8,5.307
9.9,5.307
10.0,5.325
10.1,5.313
10.2,5.304
10.3,5.292
10.4,5.301
10.5,5.295
10.6,5.295
10.7,5.304
10.8,5.279
10.9,5.301
11.0,5.301
11.1,5.288
11.2,5.252
11.3,5.282
11.4,5.270
11.5,5.237
11.6,5.221
11.7,5.255
11.8,5.218
11.9,5.191
12.0,5.194
12.1,5.148
12.2,5.124
12.3,5.090
12.4,5.093
12.5,5.060
12.6,5.047
12.7,5.005
12.8,4.931
12.9,4.855
13.0,4.824
13.1,4.727
13.2,4.629
13.3,4.565
13.4,4.476
13.5,4.348
13.6,4.296
13.7,4.187
13.8,4.101
13.9,4.098
14.0,4.064
14.1,4.071
14.2,4.110
14.3,4.135
14.4,4.232
14.5,4.336
14.6,4.406
14.7,4.501
14.8,4.602
14.9,4.647
15.0,4.687
15.1,4.788
15.2,4.846
15.3,4.858
15.4,4.928
15.5,4.934
15.6,4.968
15.7,5.002
15.8,5.029
15.9,5.020
16.0,5.072
16.1,5.050
16.2,5.084
16.3,5.096
16.4,5.096
16.5,5.133
16.6,5.108
16.7,5.154
16.8,5.166
16.9,5.163
17.0,5.169
17.1,5.188
17.2,5.194
17.3,5.185
17.4,5.176
17.5,5.215
17.6,5.194
17.7,5.185
17.8,5.200
17.9,5.203
18.0,5.243
18.1,5.230
18.2,5.194
18.3,5.188
18.4,5.206
18.5,5.194
18.6,5.185
18.7,5.166
18.8,5.148
18.9,5.163
19.0,5.176
19.1,5.194
19.2,5.176
19.3,5.169
19.4,5.191
19.5,5.163
19.6,5.188
19.7,5.154
19.8,5.185
19.9,5.166
20.0,5.118
20.1,5.127
20.2,5.139
20.3,5.142
20.4,5.148
20.5,5.130
20.6,5.121
20.7,5.136
20.8,5.099
20.9,5.096
21.0,5.087
21.1,5.096
21.2,5.090
21.3,5.130
21.4,5.093
21.5,5.102
21.6,5.084
21.7,5.081
21.8,5.090
21.9,5.069
22.0,5.060
22.1,5.102
22.2,5.056
22.3,5.075
22.4,5.075
22.5,5.047
22.6,5.041
22.7,5.020
22.8,5.020
22.9,5.047
23.0,5.020
23.1,5.035
23.2,5.020
23.3,4.995
23.4,5.029
23.5,5.005
23.6,5.008
23.7,4.995
23.8,4.971
23.9,4.989
24.0,4.971
24.1,4.940
24.2,4.947
24.3,4.962
24.4,4.931
24.5,4.904
24.6,4.895
24.7,4.892
24.8,4.913
24.9,4.895
25.0,4.828
25.1,4.840
25.2,4.834
25.3,4.828
25.4,4.846
25.5,4.843
25.6,4.828
25.7,4.800
25.8,4.815
25.9,4.812
26.0,4.803
26.1,4.776
26.2,4.773
26.3,4.742
26.4,4.773
26.5,4.721
