"Time","Potential"
0.0,5.759
0.1,5.737
0.2,5.514
0.3,5.420
0.4,5.627
0.5,5.804
0.6,5.783
0.7,5.563
0.8,5.554
0.9,5.725
1.0,5.826
1.1,5.725
1.2,5.664
1.3,5.658
1.4,5.746
1.5,5.740
1.6,5.701
1.7,5.673
1.8,5.688
1.9,5.624
2.0,5.609
2.1,5.615
2.2,5.520
2.3,5.444
2.4,5.414
2.5,5.469
2.6,5.362
2.7,5.188
2.8,5.066
2.9,5.215
3.0,5.142
3.1,4.821
3.2,4.663
3.3,4.913
3.4,5.072
3.5,4.589
3.6,4.248
3.7,4.431
3.8,4.977
3.9,4.565
4.0,3.774
4.1,3.771
4.2,4.650
4.3,4.828
4.4,3.823
4.5,3.378
4.6,4.162
4.7,5.108
4.8,4.324
4.9,3.100
5.0,3.439
5.1,4.876
5.2,4.965
5.3,3.613
5.4,3.027
5.5,4.196
5.6,5.310
5.7,4.425
5.8,3.115
5.9,3.539
6.0,5.096
6.1,5.221
6.2,3.890
6.3,3.530
6.4,4.480
6.5,5.499
6.6,4.846
6.7,3.829
6.8,4.269
6.9,5.362
7.0,5.514
7.1,4.681
7.2,4.437
7.3,5.084
7.4,5.679
7.5,5.441
7.6,4.944
7.7,5.163
7.8,5.691
7.9,5.820
8.0,5.517
8.1,5.478
8.2,5.707
8.3,5.890
8.4,5.847
8.5,5.768
8.6,5.862
8.7,5.975
8.8,5.951
8.9,5.908
9.0,5.942
9.1,5.984
9.2,5.978
9.3,5.951
9.4,5.972
9.5,5.972
9.6,5.945
9.7,5.926
9.8,5.945
9.9,5.945
10.0,5.899
10.1,5.893
10.2,5.923
10.3,5.963
10.4,5.942
10.5,5.878
10.6,5.856
10.7,5.908
10.8,5.945
10.9,5.911
11.0,5.884
11.1,5.905
11.2,5.954
11.3,5.969
11.4,5.929
11.5,5.890
11.6,5.926
11.7,5.969
11.8,5.969
11.9,5.957
12.0,5.939
12.1,5.963
12.2,5.984
12.3,5.978
12.4,5.966
12.5,5.963
12.6,5.975
12.7,5.984
12.8,5.975
12.9,5.969
13.0,5.969
13.1,5.969
13.2,5.984
13.3,5.991
13.4,5.972
13.5,5.969
13.6,5.969
13.7,5.981
13.8,5.978
13.9,5.978
14.0,5.963
14.1,5.966
14.2,5.984
14.3,5.975
14.4,5.978
14.5,5.975
14.6,5.966
14.7,5.969
14.8,5.975
14.9,5.981
15.0,5.978
15.1,5.972
15.2,5.984
15.3,5.972
15.4,5.978
15.5,5.972
15.6,5.972
15.7,5.975
15.8,5.984
15.9,5.978
16.0,5.975
16.1,5.975
16.2,5.984
16.3,5.978
16.4,5.978
16.5,5.981
16.6,5.984
16.7,5.975
16.8,5.987
16.9,5.981
17.0,5.981
17.1,5.981
17.2,5.981
17.3,5.981
17.4,5.981
17.5,5.987
17.6,5.991
17.7,5.987
17.8,5.987
17.9,5.991
