"Time","Potential"
0.0,3.918
0.1,3.909
0.2,3.915
0.3,3.845
0.4,3.951
0.5,3.869
0.6,3.930
0.7,3.924
0.8,3.878
0.9,3.872
1.0,3.939
1.1,3.948
1.2,3.933
1.3,3.893
1.4,3.924
1.5,3.893
1.6,3.906
1.7,3.915
1.8,3.890
1.9,3.915
2.0,3.805
2.1,3.903
2.2,3.915
2.3,3.851
2.4,3.866
2.5,3.933
2.6,3.845
2.7,3.851
2.8,3.863
2.9,3.897
3.0,3.900
3.1,3.948
3.2,3.927
3.3,3.878
3.4,3.860
3.5,3.912
3.6,3.875
3.7,3.875
3.8,3.942
3.9,3.839
4.0,3.866
4.1,3.829
4.2,3.906
4.3,3.787
4.4,3.860
4.5,3.802
4.6,3.848
4.7,3.832
4.8,3.848
4.9,3.869
5.0,3.829
5.1,3.881
5.2,3.860
5.3,3.854
5.4,3.872
5.5,3.851
5.6,3.884
5.7,3.826
5.8,3.878
5.9,3.842
6.0,3.805
6.1,3.787
6.2,3.835
6.3,3.869
6.4,3.848
6.5,3.875
6.6,3.796
6.7,3.863
6.8,3.790
6.9,3.820
7.0,3.829
7.1,3.878
7.2,3.851
7.3,3.903
7.4,3.829
7.5,3.851
7.6,3.890
7.7,3.869
7.8,3.832
7.9,3.863
8.0,3.881
8.1,3.839
8.2,3.799
8.3,3.762
8.4,3.829
8.5,3.777
8.6,3.863
8.7,3.750
8.8,3.805
8.9,3.796
9.0,3.808
9.1,3.741
9.2,3.729
9.3,3.719
9.4,3.729
9.5,3.753
9.6,3.729
9.7,3.723
9.8,3.759
9.9,3.732
10.0,3.781
10.1,3.726
10.2,3.665
10.3,3.716
10.4,3.732
10.5,3.744
10.6,3.814
10.7,3.750
10.8,3.756
10.9,3.683
11.0,3.796
11.1,3.729
11.2,3.774
11.3,3.808
11.4,3.829
11.5,3.777
11.6,3.829
11.7,3.793
11.8,3.765
11.9,3.808
12.0,3.842
12.1,3.869
12.2,3.790
12.3,3.832
12.4,3.738
12.5,3.759
12.6,3.796
12.7,3.863
12.8,3.829
12.9,3.762
13.0,3.723
13.1,3.710
13.2,3.713
13.3,3.756
13.4,3.735
13.5,3.582
13.6,3.558
13.7,3.591
13.8,3.622
13.9,3.573
14.0,3.545
14.1,3.539
14.2,3.481
14.3,3.414
14.4,3.478
14.5,3.478
14.6,3.371
14.7,3.420
14.8,3.332
14.9,3.405
15.0,3.295
15.1,3.265
15.2,3.320
15.3,3.237
15.4,3.158
15.5,3.219
15.6,3.246
15.7,3.234
15.8,3.255
15.9,3.252
16.0,3.194
16.1,3.167
16.2,3.188
16.3,3.252
16.4,3.191
16.5,3.249
16.6,3.167
16.7,3.194
16.8,3.222
16.9,3.246
17.0,3.191
17.1,3.197
17.2,3.210
17.3,3.231
17.4,3.234
17.5,3.237
17.6,3.317
17.7,3.167
17.8,3.243
17.9,3.246
18.0,3.243
18.1,3.298
18.2,3.335
18.3,3.332
18.4,3.381
18.5,3.350
18.6,3.350
18.7,3.390
18.8,3.454
18.9,3.454
19.0,3.494
19.1,3.469
19.2,3.533
19.3,3.521
19.4,3.555
19.5,3.552
19.6,3.576
19.7,3.622
19.8,3.622
19.9,3.591
20.0,3.616
20.1,3.658
20.2,3.716
20.3,3.698
20.4,3.674
20.5,3.625
20.6,3.671
20.7,3.848
20.8,3.814
20.9,3.808
21.0,3.890
21.1,3.826
21.2,3.771
21.3,3.863
21.4,3.796
21.5,3.835
21.6,3.857
21.7,3.842
21.8,3.802
21.9,3.823
22.0,3.787
22.1,3.854
22.2,3.826
22.3,3.915
22.4,3.866
22.5,3.820
22.6,3.826
22.7,3.829
22.8,3.866
22.9,3.869
23.0,3.842
23.1,3.893
23.2,3.860
23.3,3.903
23.4,3.866
23.5,3.832
23.6,3.912
23.7,3.869
23.8,3.799
23.9,3.802
24.0,3.851
24.1,3.900
24.2,3.903
24.3,3.820
24.4,3.842
24.5,3.869
24.6,3.826
24.7,3.854
24.8,3.854
24.9,3.829
25.0,3.848
25.1,3.845
25.2,3.845
25.3,3.839
25.4,3.829
25.5,3.811
25.6,3.857
25.7,3.839
25.8,3.878
25.9,3.875
26.0,3.869
26.1,3.799
26.2,3.887
26.3,3.842
26.4,3.881
26.5,3.787
26.6,3.857
26.7,3.924
26.8,3.854
26.9,3.875
27.0,3.808
27.1,3.857
27.2,3.857
27.3,3.866
27.4,3.848
27.5,3.890
27.6,3.872
27.7,3.857
27.8,3.857
27.9,3.826
28.0,3.890
28.1,3.826
28.2,3.942
28.3,3.826
28.4,3.857
28.5,3.832
28.6,3.854
28.7,3.878
28.8,3.875
28.9,3.793
29.0,3.884
29.1,3.805
29.2,3.839
29.3,3.777
29.4,3.787
29.5,3.787
29.6,3.826
29.7,3.808
29.8,3.878
29.9,3.817
