"Time","Potential"
0.0,5.829
0.1,5.926
0.2,5.926
0.3,5.914
0.4,5.832
0.5,5.737
0.6,5.707
0.7,5.752
0.8,5.820
0.9,5.875
1.0,5.881
1.1,5.847
1.2,5.795
1.3,5.780
1.4,5.786
1.5,5.813
1.6,5.853
1.7,5.844
1.8,5.832
1.9,5.768
2.0,5.701
2.1,5.710
2.2,5.731
2.3,5.841
2.4,5.911
2.5,5.923
2.6,5.890
2.7,5.759
2.8,5.661
2.9,5.600
3.0,5.636
3.1,5.740
3.2,5.847
3.3,5.920
3.4,5.920
3.5,5.832
3.6,5.664
3.7,5.582
3.8,5.539
3.9,5.557
4.0,5.661
4.1,5.762
4.2,5.804
4.3,5.633
4.4,5.582
4.5,5.508
4.6,5.438
4.7,5.429
4.8,5.569
4.9,5.649
5.0,5.655
5.1,5.591
5.2,5.493
5.3,5.362
5.4,5.359
5.5,5.459
5.6,5.569
5.7,5.633
5.8,5.609
5.9,5.478
6.0,5.185
6.1,4.953
6.2,4.922
6.3,4.989
6.4,5.298
6.5,5.615
6.6,5.719
6.7,5.621
6.8,5.264
6.9,4.675
7.0,4.446
7.1,4.422
7.2,4.733
7.3,5.230
7.4,5.466
7.5,5.725
7.6,5.618
7.7,5.230
7.8,4.910
7.9,4.296
8.0,4.061
8.1,4.208
8.2,4.605
8.3,5.371
8.4,5.771
8.5,5.780
8.6,5.435
8.7,4.727
8.8,4.174
8.9,3.924
9.0,4.101
9.1,4.589
9.2,5.108
9.3,5.643
9.4,5.792
9.5,5.475
9.6,4.986
9.7,4.434
9.8,4.055
9.9,4.116
10.0,4.345
10.1,4.913
10.2,5.606
10.3,5.841
10.4,5.746
10.5,5.359
10.6,4.623
10.7,4.385
10.8,4.327
10.9,4.602
11.0,5.111
11.1,5.484
11.2,5.722
11.3,5.823
11.4,5.530
11.5,5.285
11.6,5.020
11.7,4.809
11.8,4.892
11.9,5.130
12.0,5.444
12.1,5.716
12.2,5.792
12.3,5.707
12.4,5.514
12.5,5.316
12.6,5.246
12.7,5.295
12.8,5.411
12.9,5.603
13.0,5.701
13.1,5.759
13.2,5.658
13.3,5.527
13.4,5.450
13.5,5.447
13.6,5.527
13.7,5.621
13.8,5.661
13.9,5.701
14.0,5.624
14.1,5.551
14.2,5.490
14.3,5.493
14.4,5.578
14.5,5.646
14.6,5.670
14.7,5.633
14.8,5.508
14.9,5.377
15.0,5.340
15.1,5.389
15.2,5.527
15.3,5.600
15.4,5.658
15.5,5.520
15.6,5.304
15.7,5.130
15.8,5.023
15.9,5.053
16.0,5.200
16.1,5.414
16.2,5.643
16.3,5.630
16.4,5.459
16.5,5.209
16.6,4.763
16.7,4.562
16.8,4.513
16.9,4.684
17.0,5.139
17.1,5.545
17.2,5.658
17.3,5.530
17.4,5.136
17.5,4.632
17.6,4.336
17.7,4.174
17.8,4.431
17.9,4.806
18.0,5.182
18.1,5.563
18.2,5.600
18.3,5.343
18.4,4.940
18.5,4.492
18.6,4.110
18.7,4.174
18.8,4.443
18.9,5.008
19.0,5.502
19.1,5.661
19.2,5.597
19.3,5.209
19.4,4.712
19.5,4.455
19.6,4.296
19.7,4.507
19.8,4.840
19.9,5.255
20.0,5.588
20.1,5.697
20.2,5.530
20.3,5.282
20.4,4.968
20.5,4.696
20.6,4.754
20.7,4.925
20.8,5.237
20.9,5.624
21.0,5.774
21.1,5.795
21.2,5.652
21.3,5.383
21.4,5.267
21.5,5.185
21.6,5.288
21.7,5.499
21.8,5.646
21.9,5.801
22.0,5.878
22.1,5.807
22.2,5.731
22.3,5.639
22.4,5.560
22.5,5.600
22.6,5.691
22.7,5.804
22.8,5.902
22.9,5.933
23.0,5.926
23.1,5.881
23.2,5.823
23.3,5.813
23.4,5.832
23.5,5.871
23.6,5.929
23.7,5.954
23.8,5.963
23.9,5.923
24.0,5.896
24.1,5.871
24.2,5.881
24.3,5.911
24.4,5.951
24.5,5.969
24.6,5.972
24.7,5.936
24.8,5.884
24.9,5.853
25.0,5.847
25.1,5.859
25.2,5.911
25.3,5.917
25.4,5.939
25.5,5.926
25.6,5.887
25.7,5.838
25.8,5.795
25.9,5.792
26.0,5.813
26.1,5.844
26.2,5.865
26.3,5.902
26.4,5.884
26.5,5.859
26.6,5.807
26.7,5.762
26.8,5.765
26.9,5.765
27.0,5.820
27.1,5.850
27.2,5.859
27.3,5.868
27.4,5.841
27.5,5.792
27.6,5.759
27.7,5.740
27.8,5.759
27.9,5.786
