"Time","Potential"
0.0,3.997
0.1,3.561
0.2,3.310
0.3,3.271
0.4,3.558
0.5,3.802
0.6,3.835
0.7,3.661
0.8,3.259
0.9,3.210
1.0,3.384
1.1,3.665
1.2,3.674
1.3,3.512
1.4,3.381
1.5,3.210
1.6,3.292
1.7,3.426
1.8,3.426
1.9,3.252
2.0,3.103
2.1,3.252
2.2,3.570
2.3,3.683
2.4,3.347
2.5,2.721
2.6,2.437
2.7,2.859
2.8,3.399
2.9,3.890
3.0,3.619
3.1,2.700
3.2,1.827
3.3,1.677
3.4,2.846
3.5,3.503
3.6,3.723
3.7,2.508
3.8,1.528
3.9,0.762
4.0,0.899
4.1,2.709
4.2,3.359
4.3,2.752
4.4,1.296
4.5,0.108
4.6,0.276
4.7,0.981
4.8,2.685
4.9,2.544
5.0,1.503
5.1,0.081
5.2,-0.111
5.3,0.887
5.4,1.683
5.5,2.263
5.6,1.506
5.7,0.090
5.8,-0.389
5.9,0.319
6.0,2.102
6.1,2.660
6.2,1.851
6.3,0.447
6.4,-1.024
6.5,-0.493
6.6,1.293
6.7,3.127
6.8,3.405
6.9,0.868
7.0,-0.459
7.1,-1.735
7.2,-0.261
7.3,1.928
7.4,4.013
7.5,3.619
7.6,0.487
7.7,-0.850
7.8,-1.754
7.9,-0.157
8.0,1.586
8.1,4.092
8.2,3.585
8.3,0.313
8.4,-1.003
8.5,-0.585
8.6,1.482
8.7,3.317
8.8,3.350
8.9,1.900
9.0,-0.234
9.1,-0.722
9.2,0.224
9.3,2.080
9.4,3.292
9.5,2.749
9.6,1.287
9.7,-0.295
9.8,-0.234
9.9,1.299
10.0,2.660
10.1,3.164
10.2,2.007
10.3,0.530
10.4,-0.118
10.5,0.679
10.6,2.447
10.7,3.014
10.8,2.505
10.9,0.786
11.0,0.185
11.1,0.722
11.2,1.818
11.3,2.721
11.4,2.572
11.5,1.305
11.6,0.633
11.7,0.871
11.8,2.236
11.9,3.057
12.0,2.764
12.1,1.284
12.2,0.237
12.3,-0.160
12.4,1.039
12.5,3.204
12.6,4.000
12.7,2.749
12.8,1.067
12.9,-0.557
13.0,-0.542
13.1,0.783
13.2,3.457
13.3,4.254
13.4,3.127
13.5,1.146
13.6,-0.524
13.7,-0.649
13.8,0.670
13.9,3.030
14.0,3.933
14.1,2.721
14.2,1.680
14.3,0.176
14.4,0.447
14.5,1.656
14.6,3.194
14.7,3.567
14.8,2.703
14.9,1.909
15.0,1.339
15.1,1.595
15.2,2.502
15.3,3.243
15.4,3.481
15.5,2.904
15.6,2.657
15.7,2.575
15.8,2.886
15.9,3.451
16.0,3.610
16.1,3.802
16.2,3.506
16.3,3.567
16.4,3.643
16.5,3.890
16.6,4.098
16.7,4.080
16.8,4.150
16.9,4.125
17.0,4.174
17.1,4.238
17.2,4.382
17.3,4.388
17.4,4.394
17.5,4.406
17.6,4.412
17.7,4.480
17.8,4.556
17.9,4.531
18.0,4.473
18.1,4.357
18.2,4.306
18.3,4.400
18.4,4.531
18.5,4.602
18.6,4.608
18.7,4.452
18.8,4.168
18.9,4.232
19.0,4.306
19.1,4.418
19.2,4.458
19.3,4.418
19.4,4.290
19.5,4.217
19.6,4.132
19.7,4.058
19.8,4.098
19.9,4.074
20.0,4.098
20.1,4.171
20.2,4.193
20.3,4.098
20.4,3.851
20.5,3.710
20.6,3.622
20.7,3.784
20.8,4.071
20.9,4.238
21.0,4.113
21.1,3.545
21.2,3.359
21.3,3.402
21.4,3.686
21.5,4.135
21.6,4.269
21.7,3.976
21.8,3.436
21.9,3.124
22.0,3.423
22.1,3.903
22.2,4.382
22.3,4.049
22.4,3.469
22.5,3.072
22.6,3.378
22.7,4.095
22.8,4.348
22.9,4.031
23.0,3.271
23.1,2.843
23.2,3.378
23.3,4.040
23.4,4.425
23.5,3.723
23.6,2.721
23.7,2.520
23.8,2.956
23.9,4.272
24.0,4.507
24.1,3.219
24.2,2.010
24.3,1.378
24.4,2.560
24.5,3.829
24.6,4.299
24.7,3.381
24.8,1.165
24.9,0.267
25.0,1.403
25.1,3.008
25.2,3.805
25.3,2.727
25.4,1.564
25.5,-0.179
25.6,0.340
25.7,1.571
25.8,2.914
25.9,2.648
26.0,0.887
26.1,0.255
26.2,0.273
26.3,0.975
26.4,1.815
26.5,1.702
26.6,0.871
26.7,0.182
26.8,0.752
26.9,1.629
27.0,1.799
27.1,0.499
27.2,-0.832
27.3,-0.972
27.4,1.149
27.5,2.428
27.6,3.167
27.7,1.864
27.8,-1.079
27.9,-2.718
28.0,-2.340
28.1,1.665
28.2,3.341
28.3,3.503
28.4,1.290
28.5,-2.593
28.6,-3.286
28.7,-2.639
28.8,1.894
28.9,3.143
29.0,1.403
29.1,-1.027
29.2,-3.201
29.3,-3.341
29.4,-2.676
29.5,0.707
29.6,1.818
29.7,0.582
29.8,-1.970
29.9,-3.213
30.0,-3.094
30.1,-1.519
30.2,0.673
30.3,1.000
30.4,-0.557
30.5,-1.546
30.6,-2.395
30.7,-1.632
30.8,-0.282
30.9,0.902
31.0,1.015
31.1,-0.243
31.2,-0.679
31.3,-0.102
31.4,0.838
31.5,1.851
31.6,2.004
31.7,1.918
31.8,1.073
31.9,1.152
32.0,1.934
32.1,3.036
32.2,3.613
32.3,3.332
32.4,3.176
32.5,2.599
32.6,3.179
32.7,3.784
32.8,4.382
32.9,4.583
33.0,4.229
33.1,4.159
33.2,4.095
33.3,4.400
33.4,4.696
33.5,4.788
33.6,4.693
33.7,4.534
33.8,4.473
33.9,4.663
34.0,4.828
34.1,4.821
34.2,4.635
34.3,4.428
34.4,4.333
34.5,4.321
34.6,4.614
34.7,4.681
34.8,4.641
34.9,4.437
35.0,4.290
35.1,4.141
35.2,4.156
35.3,4.248
35.4,4.388
35.5,4.461
35.6,4.495
35.7,4.492
35.8,4.534
35.9,4.473
36.0,4.476
36.1,4.391
36.2,4.400
36.3,4.336
36.4,4.263
36.5,4.315
36.6,4.309
36.7,4.281
36.8,4.354
36.9,4.241
37.0,4.199
37.1,4.245
37.2,4.251
37.3,4.290
37.4,4.290
37.5,4.278
37.6,4.257
37.7,4.238
