"Time","Potential"
0.0,3.994
0.1,3.851
0.2,3.716
0.3,3.707
0.4,3.884
0.5,3.994
0.6,4.046
0.7,3.961
0.8,3.860
0.9,3.674
1.0,3.808
1.1,3.881
1.2,3.945
1.3,4.040
1.4,3.945
1.5,3.878
1.6,3.832
1.7,3.863
1.8,3.918
1.9,3.988
2.0,4.040
2.1,4.019
2.2,3.866
2.3,3.811
2.4,3.756
2.5,3.927
2.6,4.071
2.7,4.125
2.8,4.080
2.9,3.955
3.0,3.823
3.1,3.842
3.2,3.893
3.3,4.022
3.4,4.089
3.5,4.009
3.6,3.884
3.7,3.799
3.8,3.839
3.9,3.930
4.0,4.031
4.1,4.037
4.2,3.854
4.3,3.790
4.4,3.796
4.5,3.897
4.6,4.028
4.7,4.009
4.8,3.955
4.9,3.839
5.0,3.781
5.1,3.884
5.2,3.973
5.3,4.064
5.4,3.930
5.5,3.826
5.6,3.719
5.7,3.805
5.8,3.936
5.9,3.964
6.0,3.933
6.1,3.848
6.2,3.701
6.3,3.787
6.4,3.887
6.5,3.955
6.6,4.019
6.7,3.942
6.8,3.845
6.9,3.814
7.0,3.832
7.1,4.019
7.2,4.074
7.3,4.022
7.4,3.945
7.5,3.875
7.6,3.875
7.7,3.933
7.8,4.116
7.9,4.125
8.0,4.092
8.1,3.985
8.2,3.997
8.3,3.997
8.4,4.119
8.5,4.165
8.6,4.183
8.7,4.171
8.8,4.116
8.9,4.122
9.0,4.125
9.1,4.147
9.2,4.229
9.3,4.214
9.4,4.208
9.5,4.153
9.6,4.193
9.7,4.162
9.8,4.174
9.9,4.211
10.0,4.205
10.1,4.156
10.2,4.211
10.3,4.235
10.4,4.226
10.5,4.238
10.6,4.199
10.7,4.220
10.8,4.162
10.9,4.260
11.0,4.235
11.1,4.257
11.2,4.254
11.3,4.214
11.4,4.220
11.5,4.183
11.6,4.260
11.7,4.263
11.8,4.211
11.9,4.245
12.0,4.202
12.1,4.196
12.2,4.199
12.3,4.211
