"Time","Potential"
0.0,4.241
0.1,4.193
0.2,4.211
0.3,4.223
0.4,4.241
0.5,4.211
0.6,4.232
0.7,4.193
0.8,4.223
0.9,4.205
1.0,4.263
1.1,4.183
1.2,4.180
1.3,4.180
1.4,4.174
1.5,4.220
1.6,4.220
1.7,4.278
1.8,4.220
1.9,4.226
2.0,4.202
2.1,4.193
2.2,4.193
2.3,4.254
2.4,4.238
2.5,4.220
2.6,4.196
2.7,4.180
2.8,4.165
2.9,4.144
3.0,4.251
3.1,4.211
3.2,4.241
3.3,4.220
3.4,4.214
3.5,4.144
3.6,4.147
3.7,4.125
3.8,4.132
3.9,4.177
4.0,4.238
4.1,4.187
4.2,4.165
4.3,4.132
4.4,4.129
4.5,4.144
4.6,4.174
4.7,4.248
4.8,4.241
4.9,4.193
5.0,4.177
5.1,4.055
5.2,4.003
5.3,4.040
5.4,4.147
5.5,4.153
5.6,4.248
5.7,4.141
5.8,4.165
5.9,3.967
6.0,3.973
6.1,3.979
6.2,4.071
6.3,4.107
6.4,4.138
6.5,4.067
6.6,4.058
6.7,3.887
6.8,3.851
6.9,3.893
7.0,4.006
7.1,4.101
7.2,4.098
7.3,3.964
7.4,3.955
7.5,3.814
7.6,3.799
7.7,3.820
7.8,3.936
7.9,4.061
8.0,4.046
8.1,3.997
8.2,3.832
8.3,3.802
8.4,3.777
8.5,3.869
8.6,4.000
8.7,4.031
8.8,4.034
8.9,3.942
9.0,3.817
9.1,3.768
9.2,3.774
9.3,3.921
9.4,4.089
9.5,4.138
9.6,4.101
9.7,4.025
9.8,3.860
9.9,3.939
10.0,4.006
10.1,4.049
10.2,4.165
10.3,4.162
10.4,4.077
10.5,4.058
10.6,3.997
10.7,4.019
10.8,4.113
10.9,4.183
11.0,4.199
11.1,4.183
11.2,4.135
11.3,4.074
11.4,4.046
11.5,4.141
11.6,4.165
11.7,4.193
11.8,4.199
11.9,4.180
12.0,4.043
12.1,4.141
12.2,4.071
12.3,4.098
12.4,4.116
12.5,4.162
12.6,4.196
12.7,4.144
12.8,4.077
12.9,4.046
13.0,4.061
13.1,4.046
13.2,4.064
13.3,4.071
13.4,4.122
13.5,4.138
13.6,4.040
13.7,3.927
13.8,3.936
13.9,3.890
14.0,4.003
14.1,4.000
14.2,4.064
14.3,4.071
14.4,3.927
14.5,3.900
14.6,3.851
14.7,3.903
14.8,4.009
14.9,3.933
15.0,4.043
15.1,4.006
15.2,3.881
15.3,3.811
15.4,3.802
15.5,3.884
15.6,3.967
15.7,4.055
15.8,4.034
15.9,4.049
16.0,3.994
16.1,3.878
16.2,3.939
16.3,4.009
16.4,4.113
16.5,4.113
16.6,4.083
16.7,4.025
16.8,4.013
16.9,4.064
17.0,4.101
17.1,4.235
17.2,4.226
17.3,4.238
17.4,4.183
17.5,4.141
17.6,4.171
17.7,4.183
17.8,4.284
17.9,4.309
18.0,4.342
18.1,4.318
18.2,4.293
18.3,4.290
18.4,4.229
18.5,4.272
18.6,4.382
18.7,4.373
18.8,4.385
18.9,4.324
19.0,4.293
19.1,4.364
19.2,4.376
19.3,4.458
19.4,4.437
19.5,4.397
19.6,4.425
19.7,4.370
19.8,4.367
19.9,4.321
20.0,4.373
20.1,4.400
20.2,4.397
20.3,4.406
20.4,4.425
20.5,4.382
20.6,4.394
20.7,4.394
20.8,4.412
20.9,4.415
21.0,4.376
21.1,4.361
21.2,4.373
21.3,4.370
